Date,Open,High,Low,Close,Adj Close,Volume
20200323,2290.709961,2300.72998,2191.860107,2237.399902,2237.399902,7402180000
20200324,2344.439941,2449.709961,2344.439941,2447.330078,2447.330078,7547350000
20200325,2457.77002,2571.419922,2407.530029,2475.560059,2475.560059,8285670000
20200326,2501.290039,2637.01001,2500.719971,2630.070068,2630.070068,7753160000
20200327,2555.870117,2615.909912,2520.02002,2541.469971,2541.469971,6194330000
20200330,2558.97998,2631.800049,2545.280029,2626.649902,2626.649902,5746220000
20200331,2614.689941,2641.389893,2571.149902,2584.590088,2584.590088,6568290000
20200401,2498.080078,2522.75,2447.48999,2470.5,2470.5,5947900000
20200402,2458.540039,2533.219971,2455.790039,2526.899902,2526.899902,6454990000
20200403,2514.919922,2538.179932,2459.959961,2488.649902,2488.649902,6087190000
20200406,2578.280029,2676.850098,2574.570068,2663.679932,2663.679932,6391860000
20200407,2738.649902,2756.889893,2657.669922,2659.409912,2659.409912,7040720000
20200408,2685,2760.75,2663.300049,2749.97998,2749.97998,5856370000
20200409,2776.98999,2818.570068,2762.360107,2789.820068,2789.820068,7880140000
20200413,2782.459961,2782.459961,2721.169922,2761.629883,2761.629883,5274310000
20200414,2805.100098,2851.850098,2805.100098,2846.060059,2846.060059,5567400000
20200415,2795.639893,2801.879883,2761.540039,2783.360107,2783.360107,5203390000
20200416,2799.340088,2806.51001,2764.320068,2799.550049,2799.550049,5179990000
20200417,2842.429932,2879.219971,2830.879883,2874.560059,2874.560059,5792140000
20200420,2845.620117,2868.97998,2820.429932,2823.159912,2823.159912,5220160000
20200421,2784.810059,2785.540039,2727.100098,2736.560059,2736.560059,5075830000
20200422,2787.889893,2815.100098,2775.949951,2799.310059,2799.310059,5049660000
20200423,2810.419922,2844.899902,2794.26001,2797.800049,2797.800049,5756520000
20200424,2812.639893,2842.709961,2791.76001,2836.73999,2836.73999,5374480000
20200427,2854.649902,2887.719971,2852.889893,2878.47998,2878.47998,5194260000
20200428,2909.959961,2921.149902,2860.709961,2863.389893,2863.389893,5672880000
20200429,2918.459961,2954.860107,2912.159912,2939.51001,2939.51001,6620140000
20200430,2930.909912,2930.909912,2892.469971,2912.429932,2912.429932,6523120000
20200501,2869.090088,2869.090088,2821.610107,2830.709961,2830.709961,4753160000
20200504,2815.01001,2844.23999,2797.850098,2842.73999,2842.73999,4723140000
20200505,2868.879883,2898.22998,2863.550049,2868.439941,2868.439941,5129590000
20200506,2883.139893,2891.110107,2847.649902,2848.419922,2848.419922,4861920000
20200507,2878.26001,2901.919922,2876.47998,2881.189941,2881.189941,5164640000
20200508,2908.830078,2932.159912,2902.879883,2929.800049,2929.800049,4857160000
20200511,2915.459961,2944.25,2903.439941,2930.189941,2930.189941,4807320000
20200512,2939.5,2945.820068,2869.590088,2870.120117,2870.120117,5107710000
20200513,2865.860107,2874.139893,2793.149902,2820,2820,6143130000
20200514,2794.540039,2852.800049,2766.639893,2852.5,2852.5,5641920000
20200515,2829.949951,2865.01001,2816.780029,2863.699951,2863.699951,5477040000
20200518,2913.860107,2968.090088,2913.860107,2953.909912,2953.909912,6364290000
20200519,2948.590088,2964.209961,2922.350098,2922.939941,2922.939941,4969330000
20200520,2953.629883,2980.290039,2953.629883,2971.610107,2971.610107,4992970000
20200521,2969.949951,2978.5,2938.570068,2948.51001,2948.51001,4966940000
20200522,2948.050049,2956.76001,2933.590088,2955.449951,2955.449951,3952800000
20200526,3004.080078,3021.719971,2988.169922,2991.77002,2991.77002,5837060000
20200527,3015.649902,3036.25,2969.75,3036.129883,3036.129883,6371230000
20200528,3046.610107,3068.669922,3023.399902,3029.72998,3029.72998,5402670000
20200529,3025.169922,3049.169922,2998.610107,3044.310059,3044.310059,7275080000
20200601,3038.780029,3062.179932,3031.540039,3055.72998,3055.72998,4673410000
20200602,3064.780029,3081.070068,3051.639893,3080.820068,3080.820068,5187230000
20200603,3098.899902,3130.939941,3098.899902,3122.870117,3122.870117,5989560000
20200604,3111.560059,3128.909912,3090.409912,3112.350098,3112.350098,6428130000
20200605,3163.840088,3211.719971,3163.840088,3193.929932,3193.929932,8617590000
20200608,3199.919922,3233.129883,3196,3232.389893,3232.389893,8437380000
20200609,3213.320068,3222.709961,3193.110107,3207.179932,3207.179932,6382620000
20200610,3213.419922,3223.27002,3181.48999,3190.139893,3190.139893,6570840000
20200611,3123.530029,3123.530029,2999.48999,3002.100098,3002.100098,7018890000
20200612,3071.040039,3088.419922,2984.469971,3041.310059,3041.310059,5832250000
20200615,2993.76001,3079.76001,2965.659912,3066.590088,3066.590088,5740660000
20200616,3131,3153.449951,3076.060059,3124.73999,3124.73999,5829240000
20200617,3136.129883,3141.159912,3108.030029,3113.48999,3113.48999,4549390000
20200618,3101.639893,3120,3093.51001,3115.340088,3115.340088,4429030000
20200619,3140.290039,3155.530029,3083.110107,3097.73999,3097.73999,8327780000
20200622,3094.419922,3120.919922,3079.389893,3117.860107,3117.860107,4665380000
20200623,3138.699951,3154.899902,3127.120117,3131.290039,3131.290039,4704830000
20200624,3114.399902,3115.01001,3032.129883,3050.330078,3050.330078,5587200000
20200625,3046.600098,3086.25,3024.01001,3083.76001,3083.76001,4815420000
20200626,3073.199951,3073.72998,3004.629883,3009.050049,3009.050049,8098120000
20200629,3018.590088,3053.889893,2999.73999,3053.23999,3053.23999,4462770000
20200630,3050.199951,3111.51001,3047.830078,3100.290039,3100.290039,4696280000
20200701,3105.919922,3128.439941,3101.169922,3115.860107,3115.860107,4443130000
20200702,3143.639893,3165.810059,3124.52002,3130.01001,3130.01001,4190830000
20200706,3155.290039,3182.590088,3155.290039,3179.719971,3179.719971,4736450000
20200707,3166.439941,3184.149902,3142.929932,3145.320068,3145.320068,4563700000
20200708,3153.070068,3171.800049,3136.530029,3169.939941,3169.939941,4927700000
20200709,3176.169922,3179.780029,3115.699951,3152.050049,3152.050049,4829020000
20200710,3152.469971,3186.820068,3136.219971,3185.040039,3185.040039,4515340000
20200713,3205.080078,3235.320068,3149.429932,3155.219971,3155.219971,4890780000
20200714,3141.110107,3200.949951,3127.659912,3197.52002,3197.52002,4476170000
20200715,3225.97998,3238.280029,3200.76001,3226.560059,3226.560059,4669760000
20200716,3208.360107,3220.389893,3198.590088,3215.570068,3215.570068,3961230000
20200717,3224.209961,3233.52002,3205.649902,3224.72998,3224.72998,3993830000
20200720,3224.290039,3258.610107,3215.159912,3251.840088,3251.840088,3971200000
20200721,3268.52002,3277.290039,3247.77002,3257.300049,3257.300049,4547960000
